,0,1,2,3,4,5,6,7
382012,93,67,66,70,41,80,0,0
382524,91,64,62,73,39,80,0,0
383036,94,64,62,72,40,78,0,0
383548,93,65,66,76,38,77,0,0
384060,91,78,50,87,28,25,0,0
384572,84,75,52,86,33,29,0,0
385084,88,85,43,87,33,28,0,0
385596,88,79,47,85,33,29,0,0
386108,89,81,51,83,32,24,0,0
386620,92,74,48,90,33,26,0,0
387132,90,80,52,84,30,28,0,0
387644,86,83,50,83,30,26,0,0
388156,88,77,50,87,36,27,0,0
388668,89,77,49,88,29,27,0,0
389180,95,81,66,93,44,49,0,0
389692,87,80,73,89,42,52,0,0
390204,89,88,62,90,46,51,0,0
390716,89,85,69,85,42,58,0,0
391228,90,82,71,86,44,50,0,0
391740,94,79,69,93,45,53,0,0
392252,91,83,76,87,43,55,0,0
392764,88,85,73,86,41,48,0,0
393276,93,78,70,87,44,57,0,0
393788,91,82,69,90,44,49,0,0
394300,95,82,91,93,51,77,0,0
394812,89,81,93,92,54,82,0,0
395324,92,90,85,93,54,79,0,0
395836,93,84,86,91,56,80,0,0
396348,93,87,92,89,53,79,0,0
396860,96,80,90,96,56,79,0,0
397372,94,87,95,88,54,76,0,0
397884,92,89,93,89,53,79,0,0
398396,94,84,89,90,54,80,0,0
398908,93,84,91,92,51,79,0,0
399420,92,96,77,101,47,27,0,0
399932,85,102,78,103,50,23,0,0
400444,87,104,79,99,46,28,0,0
400956,88,98,77,103,49,25,0,0
401468,88,97,80,98,47,29,0,0
401980,90,97,79,102,47,28,0,0
402492,88,102,82,98,47,28,0,0
403004,87,101,76,102,49,19,0,0
403516,89,95,78,101,46,29,0,0
404028,88,100,83,100,45,28,0,0
404540,92,100,94,105,60,48,0,0
405052,88,103,98,105,56,55,0,0
405564,89,107,100,101,57,54,0,0
406076,92,100,96,105,58,59,0,0
406588,89,101,99,101,59,53,0,0
407100,91,101,103,106,56,53,0,0
407612,91,105,103,100,60,52,0,0
408124,90,101,98,105,58,51,0,0
